KEY,SKEY,AAF1,CBAA_1
100000715,197100001117,1,4
100000716,197100000527,2,4
100000717,197100001417,2,2
100000718,197100001594,2,2
100000719,197100001551,1,3
100000720,197100001184,2,4
100000721,197100000579,1,3
100000722,197100001479,1,2
100000723,197100001565,2,3
100000724,197100001600,1,2
100000725,197100001491,2,3
100000726,197100001538,1,1
100000727,197100000738,2,3
100000728,197100001519,2,3
100000729,197100001350,1,4
100000730,197100001159,2,3
100000731,197100001542,2,4
100000732,197100000359,2,2
100000733,197100001567,2,2
100000734,197100001558,1,4
100000735,197100001625,1,3
100000736,197100000035,2,4
100000737,197100000703,1,1
100000738,197100001539,1,3
100000739,197100001439,1,3
100000740,197100001636,1,4
100000741,197100001127,2,3
100000742,197100001632,1,3
100000743,197100000972,1,4
100000745,197100000609,2,3
100000746,197100000348,1,3
100000747,197100001599,1,4
100000748,197100001370,2,2
100000749,197100001433,1,4
100000750,197100001601,2,4
100000751,197100001639,1,2
100000752,197100000173,2,4
100000753,197100001613,2,2
100000754,197100001254,1,4
100000755,197100001522,1,3
100000756,197100001389,2,1
100000757,197100001398,1,2
100000758,197100001569,1,3
100000759,197100001572,2,1
100000760,197100000645,2,3
100000761,197100001584,1,4
100000762,197100001441,1,3
100000763,197100001673,1,2
100000764,197100001362,1,4
100000765,197100001279,2,4
100000766,197100000478,1,2
100000767,197100001306,2,3
100000768,197100001617,1,3
100000769,197100001689,1,2
100000770,197100001470,2,2
100000771,197100001142,1,2
100000772,197100001707,1,2
100000773,197100001659,1,3
100000774,197100001341,2,3
100000775,197100001656,2,3
100000776,197100001192,2,3
100000777,197100001606,1,1
100000778,197100001432,2,4
100000779,197100000232,1,3
100000780,197100001622,1,4
100000781,197100001515,1,4
100000782,197100001590,2,3
100000783,197100001135,2,3
100000784,197100001626,2,4
100000785,197100001576,2,4
100000786,197100001544,1,3
100000787,197100000540,1,4
100000788,197100001691,1,4
100000789,197100001687,1,3
100000790,197100001715,1,4
100000791,197100001579,2,4
100000792,197100001593,1,3
100000793,197100001547,2,4
100000794,197100001744,1,4
100000795,197100001300,1,2
100000796,197100001372,2,4
100000797,197100001623,2,4
100000798,197100000557,2,4
100000799,197100001013,2,3
100000800,197100001396,2,4
100000801,197100000405,1,4
100000802,197100000826,1,4
100000803,197100001209,2,2
100000804,197100001757,1,3
100000805,197100001661,1,2
100000806,197100001719,2,4
100000807,197100000602,1,4
100000808,197100001492,1,3
100000809,197100001651,2,3
100000810,197100001680,2,1
100000811,197100001161,2,3
100000812,197100001597,2,3
100000813,197100001750,2,3
100000814,197100000918,2,4
100000815,197100001780,1,4
100000816,197100001573,2,4
100000817,197100001676,2,4
100000818,197100001587,2,2
100000819,197100001008,1,4
100000820,197100001049,2,3
100000821,197100001714,2,4
100000822,197100001796,1,3
100000823,197100001182,2,2
100000824,197100001775,1,3
100000825,197100001588,1,4
100000826,197100001395,1,4
100000827,197100001753,2,3
100000828,197100000306,2,4
100000829,197100001705,1,4
100000830,197100000087,1,1
100000831,197100001764,1,4
100000832,197100001445,1,3
100000833,197100000175,2,2
100000834,197100001844,1,1
100000835,197100000994,1,3
100000836,197100001638,1,2
100000837,197100001723,1,4
100000838,197100000723,2,4
100000839,197100000853,1,4
100000840,197100001739,2,3
100000841,197100001690,2,2
100000842,197100001582,2,2
100000843,197100001734,2,2
100000844,197100000683,1,4
100000845,197100001790,2,2
100000846,197100001546,1,4
100000847,197100001548,1,3
100000848,197100001767,2,4
100000849,197100001736,1,4
100000850,197100001856,1,2
100000851,197100001428,2,2
100000852,197100001763,1,2
100000853,197100001865,1,2
100000854,197100001524,2,4
100000855,197100000852,2,4
100000856,197100001820,1,2
100000857,197100000907,2,4
100000858,197100000711,1,4
100000859,197100001700,2,1
100000860,197100001795,1,3
100000861,197100001208,1,4
100000862,197100001694,2,2
100000863,197100001843,1,4
100000864,197100000336,1,3
100000865,197100000400,2,3
100000866,197100001793,1,4
100000867,197100001777,1,4
100000868,197100001248,2,4
100000869,197100001883,1,3
100000870,197100001338,2,3
100000871,197100001758,2,4
100000872,197100000926,1,4
100000873,197100001647,2,2
100000874,197100001708,1,4
100000875,197100001598,1,3
100000876,197100001868,2,2
100000877,197100001794,2,4
100000878,197100000136,1,2
100000879,197100001592,1,3
100000880,197100000068,1,4
100000881,197100001307,1,3
100000882,197100001620,2,3
100000883,197100001624,1,4
100000884,197100000262,1,3
100000885,197100000942,2,1
100000886,197100001648,1,4
100000887,197100000194,2,4
100000888,197100001860,1,3
100000889,197100001674,1,4
100000891,197100001805,1,2
100000892,197100001904,2,1
100000893,197100001871,2,4
100000894,197100000520,2,2
100000895,197100001879,1,3
100000896,197100001727,2,4
100000897,197100001642,1,3
100000898,197100001766,2,4
100000899,197100001710,2,4
100000900,197100001183,2,3
100000901,197100001317,1,1
100000902,197100001452,2,2
100000903,197100001807,2,3
100000904,197100001212,2,3
100000905,197100001863,1,4
100000906,197100001103,2,4
100000907,197100001902,2,3
100000908,197100000927,2,3
100000909,197100001675,1,3
100000910,197100001698,1,4
100000911,197100001827,1,3
100000912,197100000178,1,3
100000913,197100001733,2,2
100000914,197100001336,2,3
100000915,197100001935,1,4
100000916,197100001811,1,2
100000917,197100001891,1,3
100000918,197100001920,1,2
100000919,197100001466,1,2
100000920,197100001721,2,4
100000921,197100000404,2,4
100000922,197100001941,1,2
